,0,1
188,種比較,0.5099420741444466
189,點然後,0.50963708977253
190,我自己,0.5091158896443575
191,不知道,0.5084768984228178
192,得非常,0.5083331140500913
193,那時候,0.5083237328122462
194,有什麼,0.5078491551134159
195,地方,0.5076923076923077
196,的護唇膏,0.5076190964945405
197,就覺得,0.5075599193608602
198,之後,0.5074687947616124
199,我現在,0.5074537984177773
200,它裡面,0.5073287778415315
201,立體,0.5072463768115942
202,它真的,0.5068192252078466
203,你覺得,0.5055750438486595
204,死皮,0.505464480874317
205,是因為,0.5052614289764231
206,推薦,0.5047846889952153
207,是非常,0.5047471973533125
208,的然後,0.5043954680147136
209,有興趣,0.5040568666878329
210,就直接,0.5037196132921614
211,用起來,0.5036346853789996
212,很自然,0.5036195280605257
213,看一下,0.5035538848785248
214,有辦法,0.503210216248633
